Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
17.66666667,278.5,77.33333333,1.666666667,1.666666667,25.16666667,237.5,104.3333333,1.833333333,0.833333333,0,1,0.16460576,0.209109572,5.225225225,-1.713615023,
22.33333333,245.1666667,115.5,1,0.666666667,23.5,229.6666667,120.3333333,0.833333333,0.833333333,0.333333333,0,0.0947025,0.210241935,0.457746479,0.813953488,
16.75,259.375,98.25,2.5,1.375,22.875,247.75,114.875,1.5,1.375,0.5,1,0.122317308,0.211684615,0.488505747,0.081300813,
21.5,236,103.25,1,1,24.5,198.875,151.75,0.875,0.625,0.25,0,0.126482803,0.173508108,-1.30952381,-1.296296296,
18.25,226.375,108.125,1.25,0.875,23.125,275.5,97.75,1.375,1,0,1,0.115739483,0.132453153,-0.289179104,0.880149813,
18.25,226.875,92.625,1.125,1.125,17.75,242.75,85.875,1.5,0.5,0.25,1,0.09189375,0.085494595,0.346938776,1.094674556,
19.70833333,235.75,116.6666667,1.583333333,1.375,18.08333333,199.8333333,101.9166667,1.25,1.083333333,0.416666667,0,0.140225455,0.033322989,-0.333333333,1.320754717,
14.25,219.5,90.125,2.25,1.25,19.5,236.875,91.125,1.625,1.125,0,0,0.092662121,0.07324703,1.215277778,0.017857143,
24.5,213.25,144.625,1.25,1.125,21.75,303.25,101.875,1.375,1,0.25,0,0.105413115,0.218764401,-0.748031496,0.40969163,
20.95833333,297.125,75.25,1.708333333,0.458333333,22.83333333,195.7083333,155.0833333,0.916666667,0.875,0.416666667,1,0.066194268,0.129664706,1.25,7.587064677,
16,217.875,106.375,1.375,1.5,21.25,245.375,126.75,0.625,0.75,0,0,0.086583444,0.177303896,0.77294686,-0.685483871,
16.25,193.625,118.625,2.25,1.125,24.625,264.125,114,1.5,0.75,0.5,1,0.057982895,0.101976596,-0.652173913,-3.004115226,
18.375,211.125,110.125,2,1.625,27.5,246.375,147.125,1.5,0.75,0,1,0.078293478,0.095146078,-0.754310345,0.198863636,
17.5,275.4166667,86,1.583333333,0.833333333,21.08333333,197.3333333,108.4583333,1.875,0.708333333,0.416666667,0,0.139282609,0.0067808,2.390691114,4.588235294,
16.375,209.125,108.75,1.375,1.625,24.75,246.375,119.875,1.25,0.625,0.25,0,0.201169799,0.037624576,-0.75,-1.62027833,
19.58333333,188.125,127.5416667,1.166666667,0.333333333,14.79166667,222.875,109.0416667,1.416666667,1.5,0.166666667,1,0.08809546,0.12611399,4.034965035,15.79741379,
18.9,205.9,94.1,1.2,1.5,23.6,300.6,117.4,2.5,0.8,-0.2,1,0.215825455,0.171191304,-1.12,0.382513661,
23.4,219.925,112.375,1.1,0.975,17.15,243.375,105.9,1.075,1.225,0.1,0,0.056098556,0.08346844,1.22611465,1.612903226,
18.825,263,85.675,1.425,1.425,16.775,220.45,79.05,1.575,1.45,0.1,0,0.141109747,0.118018261,-1.521352313,5.348837209,
